Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
Foliage projective cover 2010 - Tambo,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F37782F8-59AA-499E-BD87-CA7389D76E61},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Thargomindah,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1BF080EA-6F55-4B20-B129-5A57F8AC7C90},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Thursday Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E8C0EDBC-4292-4BE1-BCAC-EE3E7F35610C},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Townsville,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={18666803-7D65-49C3-8D01-2786AAF6C7C9},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Urandangie,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F120AAB8-FF9A-49B8-A9AD-191C4D5A8B0D},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Warwick,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9F777CAC-79DA-4088-8856-D90DE2723E01},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Weipa,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BE180D84-D53F-42B5-8DCA-CA76B5704CC1},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Whitsunday,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7CC7B899-F91D-4E1B-881F-84BD3E246776},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Windorah,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D01525C8-62A5-4F30-BD7B-77677F91940E},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Winton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6F535907-BADA-4E33-BA28-D18866A82C28},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Wolverton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5F9DC6E4-5749-493C-AAFC-CDEE1FE0EB41},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Yeppoon,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E563481B-A584-4DC2-91BF-C7C675032CEE},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - York Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C255EBB9-8CB2-4D29-BC7D-B6F45539DCD3},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7EFF5652-3818-4C77-8ECC-D6361D2513E5},21/03/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Adavale,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D9A89B0B-E81F-477F-8131-2D0D9DE6A19C},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Alpha,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={672A54E1-13EC-4C9D-A93A-521CAFFAA498},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Aramac,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FB4C599E-1467-41CA-8C5C-94793653FDC3},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Arizona,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9062B1DD-1679-44C3-B2BB-23504693F78B},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Arrabury,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={090EB4D4-87B5-4CF4-873B-67E08E2A1589},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Atherton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CCABDD23-F45E-4E0D-8821-88EC11221ACD},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Badu Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BF6AE491-31B8-4D63-BFF5-DDABC76EFB87},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Bedourie,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F8AAAD19-A8DA-4994-9B4F-AFDA82204620},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Bellfield,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F4363281-5443-4302-A257-7AD81CCC12B1},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Bentink Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C06880EF-30FD-4AEA-855D-0EE05C6F829A},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Birdsville,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={21675143-FA9F-4A47-988C-D429362D12CE},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Blackwater,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FAEE31A7-6157-4E34-85D0-D4B4A1133B8D},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Bollon,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AD5A9C1F-F73D-46D3-92CA-A0398B503BBF},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Boulia,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4C451C27-398B-481B-8CF8-6FDFAE8D6FA8},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Bransby,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A935135C-AB31-4992-A6FE-30389931A68E},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Bulimba,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CFEA4111-80D9-444E-91BE-9623DEA6F452},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Bundaberg,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CBE6E1F7-03B8-4721-9DB1-FBC64BDF6E8C},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Burketown,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A1E82161-6615-4434-878E-248590930E67},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cadell,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D89B5EDB-8A27-45C3-8269-6163D07DB191},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cairns,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C3258D13-53E4-46C8-A34F-A014553C4BBE},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cameron Corner,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F3C82F51-5960-4BCE-8B28-DDD9BFC50BE8},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Camooweal,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3CC67365-72CE-400B-B2E7-2B2C27E681FB},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cape Keerweer,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={785BBBE6-30A7-4E8B-BFF2-A958E95A6969},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cape York,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={06488C77-29E0-4682-9788-AEC2E061698E},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Carlo,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={34E82489-DD8C-4E86-8629-C95F71F2C560},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Carnarvon,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={79F53293-74FF-4E7E-82B1-AC31C750B8DA},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Charleville,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C84F1362-28B8-4D99-A680-A894990D1B8E},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Charters Towers,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={88E90D69-90A4-4F06-BBDF-18D9B429BB5C},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Chinchilla,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CEB6979F-50A2-4D6D-84C1-BF462A29DF17},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cloncurry,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6BB01CA4-3B2A-47C8-AA09-71157359461F},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cooktown,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2B00F97E-6F4F-4DF0-8EF8-66C271CCD969},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Cunnamulla,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9A60D324-840D-42A9-92E2-653BC218FA6F},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Delta Downs,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9ABC6956-10EC-454C-9CC4-DC15E271DB4A},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Dirranbandi,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={98E7AEDB-1431-4F57-A666-0D7B4D45793B},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Doomadgee,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4ED85102-8190-404B-89BD-C2435AED4F5F},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Dynamite Creek,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={75799F74-F445-4848-BCA7-9CBE4AD073FA},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Emerald,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EE254503-EE38-4D26-A8D5-06CEFD9FEF68},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Eromanga,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9FA1A700-04D2-4CCC-97DE-FFAE45726BD5},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Fraser Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={886E5964-3DAA-4425-A094-565A6F006653},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Georgetown,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DB6A04BE-ACCE-4620-AAFD-4A32B52E1836},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Gladstone,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FB697EE3-F5DE-4E03-B0B6-98E003E14E19},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Glenormiston,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8C96B978-AA66-45F1-A24D-2DEA48D9B69F},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Gold Coast,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={089861E5-38E4-4A37-8205-6C107BC5EC59},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Goondiwindi,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={069629E1-ACAB-4D2A-AA7D-5E4092AAAF60},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Gunpowder,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={552C8C9E-2018-4A0A-8AB3-77D6053A813B},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Haddon Corner,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A77D7C41-E31E-43F8-9C07-B880FE088F2D},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Hughenden,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={79BC8183-C9D9-4E15-B6F1-80DD48E71463},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Ingham,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0CA40DB2-36F7-494E-8D24-0E64AE4697AA},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Injune,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CBB6B67F-383B-4B19-BDA7-26BCE8B5BAE3},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Iron Range National Park,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0FE639AA-5469-456E-AD2B-F90DF55B63DC},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Isisford,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FD0351FE-74FF-438B-BBDF-104987C84DE4},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Kalinga,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EFF8EB59-DA77-485A-9DCC-FAB9D63D0222},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Kingaroy,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AFF60A21-A633-4B77-A63D-D9BFDE4C1A8C},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Kowanyama,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3EF38C49-C93A-4613-BF2C-D01FC3968B88},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Kynuna,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AAA6947F-749A-43D4-BAF0-A64876A2A4ED},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Lady Musgrave,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={55640F08-8726-4D78-8E91-DB61D7CE0141},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Laglan,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6175DAE6-6899-40AC-905D-524B3C21EABA},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Mackay,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7C268E92-BF84-4BD5-A252-0E66E6E9C5B5},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Monto,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1F390EB1-0D51-4BD9-BC1E-2A36DD64915A},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Moranbah,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={060B520A-C4A3-4BDB-B0EC-2676CB18D078},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Mornington Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2A4DD1E3-6E2F-4184-BEC0-54AD02165679},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Morven,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={264EEFA7-934A-430E-8433-68F891B1C41D},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Mt Coolan,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DC7C2B4A-8191-487F-A443-B5141A6E25CF},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Mt Dot,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={71E3A8F2-8A9B-4808-9595-F861149044C3},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Mt Garnet,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DD99D0A7-A8D1-4CB7-B4BC-6371D2B1C26B},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Mt Isa,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={857CE057-1B53-48E5-88BB-DE806962D76B},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Normanton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F8466755-F6B8-4B43-99B6-91EFC4DBC57C},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Oak Valley,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3F6BC3E1-FA3F-40EC-929D-7E3C04E6110D},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Pentland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2AC75911-71AE-49F5-A851-C1E29D1E7BDE},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Poeppel Corner,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1E9A115A-FD34-41FF-8ED7-F84D629DAAA1},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Princess Charlotte,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CE379A7B-7E2F-4DA6-ACA3-8293FEA86702},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Quilpie,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7CB1CC77-5089-46B6-9B36-1149F15C0DC8},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Roma,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FC9B7477-BA72-4BD8-ABA5-9F52A2BA4CEE},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Sarina,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C0598915-E1DC-4C23-90D2-3183B39E8A8C},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - St Lawrence,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={99211D18-C10E-4FF0-A991-AA4A68DBEB8D},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Stonehenge,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C2025A3E-97FA-4D62-B70F-3EF638CF5B3B},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
